r[m],potential[V]
2.050000000000000754e-07,5.026726002896757944e-02
2.060000000000000711e-07,5.024972748776394132e-02
2.070000000000000669e-07,5.023323569509635655e-02
2.080000000000000626e-07,5.021889040031855128e-02
2.090000000000000583e-07,5.020370055416271265e-02
2.100000000000000805e-07,5.018627142785454798e-02
2.110000000000000762e-07,5.016884230154637636e-02
2.120000000000000719e-07,5.014906415731124750e-02
2.130000000000000677e-07,5.012927746599802475e-02
2.140000000000000634e-07,5.011340560750258966e-02
2.150000000000000591e-07,5.009763323283129149e-02
2.160000000000000813e-07,5.008170208080044150e-02
2.170000000000000770e-07,5.006568335621592453e-02
2.180000000000000727e-07,5.004962310902107137e-02
2.190000000000000684e-07,5.003350983093815540e-02
2.200000000000000642e-07,5.001802424048520240e-02
2.210000000000000599e-07,5.000397904543641553e-02
2.220000000000000821e-07,4.998978516198336608e-02
2.230000000000000778e-07,4.997480718547724077e-02
2.240000000000000735e-07,4.995982920897111546e-02
2.250000000000000692e-07,4.994540088463651079e-02
2.260000000000000649e-07,4.993099397296249520e-02
2.270000000000000607e-07,4.991872679082520053e-02
2.280000000000000829e-07,4.990675232309384896e-02
2.290000000000000786e-07,4.989572700648439024e-02
2.300000000000000743e-07,4.988483430182637929e-02
2.310000000000000700e-07,4.987276025137422214e-02
2.320000000000000657e-07,4.985993467354147418e-02
2.330000000000000615e-07,4.984595868327482832e-02
2.340000000000000836e-07,4.983120827806644670e-02
2.350000000000000794e-07,4.981746545604320148e-02
2.360000000000000751e-07,4.980586197070878407e-02
2.370000000000000708e-07,4.979404560179934852e-02
2.380000000000000665e-07,4.978177252304576139e-02
2.390000000000000622e-07,4.976879284951276489e-02
2.400000000000000844e-07,4.975368839799634152e-02
2.410000000000000537e-07,4.973858394647991815e-02
2.420000000000000759e-07,4.972802768887942676e-02
2.430000000000000981e-07,4.971799871567088303e-02
2.440000000000000673e-07,4.970975870618948855e-02
2.450000000000000895e-07,4.970222549864534295e-02
2.460000000000000587e-07,4.969185677447325589e-02
2.470000000000000809e-07,4.967894055078230647e-02
2.480000000000000502e-07,4.966601727381848158e-02
2.490000000000000724e-07,4.965306507400761571e-02
2.500000000000000946e-07,4.964086155448792226e-02
2.510000000000000638e-07,4.963260124422020497e-02
2.520000000000000860e-07,4.962434093395248769e-02
2.530000000000000553e-07,4.961403330854854271e-02
2.540000000000000774e-07,4.960345198811048212e-02
2.550000000000000467e-07,4.959270315565916104e-02
2.560000000000000689e-07,4.958192353436645383e-02
2.570000000000000911e-07,4.957270157682198281e-02
2.580000000000000603e-07,4.956495220204391872e-02
2.590000000000000825e-07,4.955607553758965139e-02
2.600000000000000518e-07,4.954485596501111144e-02
2.610000000000000740e-07,4.953354414506831727e-02
2.620000000000000961e-07,4.952179144560760887e-02
2.630000000000000654e-07,4.951023301601854137e-02
2.640000000000000876e-07,4.950278708949724937e-02
2.650000000000000568e-07,4.949534116297594349e-02
2.660000000000000790e-07,4.948565590756886373e-02
2.670000000000000483e-07,4.947551855422743089e-02
2.680000000000000705e-07,4.946593998770486972e-02
2.690000000000000926e-07,4.945653272424842262e-02
2.700000000000000619e-07,4.944972539883359802e-02
2.710000000000000841e-07,4.944372513772865574e-02
2.720000000000000533e-07,4.943625227885684037e-02
2.730000000000000755e-07,4.942721964965107739e-02
2.740000000000000977e-07,4.941831868749932410e-02
2.750000000000000670e-07,4.940956596534425843e-02
2.760000000000000892e-07,4.940129632457319897e-02
2.770000000000000584e-07,4.939488996198908993e-02
2.780000000000000806e-07,4.938870654273500721e-02
2.790000000000000498e-07,4.938423490048136216e-02
2.800000000000000720e-07,4.937976325822772405e-02
2.810000000000000942e-07,4.937172667119106573e-02
2.820000000000000635e-07,4.936321426443222166e-02
2.830000000000000857e-07,4.935395698336127179e-02
2.840000000000000549e-07,4.934443427506488011e-02
2.850000000000000771e-07,4.933629328111899248e-02
2.860000000000000993e-07,4.932906385832017820e-02
2.870000000000000685e-07,4.932245364222981321e-02
2.880000000000000907e-07,4.931678680194630238e-02
2.890000000000000600e-07,4.931109552481604402e-02
2.900000000000000822e-07,4.930505601978381336e-02
2.910000000000000514e-07,4.929887268044869097e-02
2.920000000000000736e-07,4.928965618547380412e-02
2.930000000000000958e-07,4.928043969049891726e-02
2.940000000000000650e-07,4.927378391710730138e-02
2.950000000000000872e-07,4.926790263271418890e-02
2.960000000000000565e-07,4.926258219234960073e-02
2.970000000000000787e-07,4.925748612259801124e-02
2.980000000000001009e-07,4.925201036784918746e-02
2.990000000000000701e-07,4.924592439462979754e-02
3.000000000000000923e-07,4.924006127508597647e-02
3.010000000000000616e-07,4.923503371987734273e-02
