r[m],potential[V]
5.100000000000001993e-08,-7.720006328383899330e-02
5.200000000000001565e-08,-7.389872757793716773e-02
5.300000000000001798e-08,-7.076229168820215298e-02
5.400000000000002032e-08,-6.765341491545698305e-02
5.500000000000001604e-08,-6.467127955932379380e-02
5.600000000000001838e-08,-6.172673660090920861e-02
5.700000000000002071e-08,-5.886160297708521727e-02
5.800000000000001643e-08,-5.607101453457368628e-02
5.900000000000001877e-08,-5.336108229824329530e-02
6.000000000000002111e-08,-5.073459505266596226e-02
6.100000000000001683e-08,-4.813912521933416677e-02
6.200000000000001255e-08,-4.565757023804999093e-02
6.300000000000002150e-08,-4.320240708493053999e-02
6.400000000000001722e-08,-4.084548176359935334e-02
6.500000000000001294e-08,-3.851035391306011080e-02
6.600000000000002189e-08,-3.629481448676945970e-02
6.700000000000001761e-08,-3.407927506047880167e-02
6.800000000000001333e-08,-3.198144228661235766e-02
6.900000000000002229e-08,-2.989219468137520666e-02
7.000000000000001801e-08,-2.790541808994019546e-02
7.100000000000001373e-08,-2.594218594856129156e-02
7.200000000000002268e-08,-2.402156323745820513e-02
7.300000000000001840e-08,-2.219461677465028870e-02
7.400000000000001412e-08,-2.036767031184237228e-02
7.500000000000002308e-08,-1.863744905865461973e-02
7.600000000000001880e-08,-1.691673288302129527e-02
7.700000000000001452e-08,-1.528998315460451674e-02
7.800000000000002347e-08,-1.367484071426189676e-02
7.900000000000001919e-08,-1.211642509936325905e-02
8.000000000000001491e-08,-1.059388798637581064e-02
8.100000000000002386e-08,-9.123331229080091850e-03
8.200000000000001958e-08,-7.693747930564668637e-03
8.300000000000001530e-08,-6.284799110364083959e-03
8.400000000000002426e-08,-4.945516644542453759e-03
8.500000000000001998e-08,-3.610764913254221192e-03
8.600000000000001570e-08,-2.353360810918528161e-03
8.700000000000002465e-08,-1.095956708582835346e-03
8.800000000000002037e-08,9.584311382189369326e-05
8.900000000000001609e-08,1.279326928798976432e-03
9.000000000000002504e-08,2.407016305714249592e-03
9.100000000000002076e-08,3.518562444179129927e-03
9.200000000000001648e-08,4.590436220519979703e-03
9.300000000000002544e-08,5.629387836488275801e-03
9.400000000000002116e-08,6.654104300373440625e-03
9.500000000000001688e-08,7.628530977239748878e-03
9.600000000000003907e-08,8.590912505957944839e-03
9.700000000000003479e-08,9.506720948736545676e-03
9.800000000000003051e-08,1.042252939151514651e-02
9.900000000000003946e-08,1.128489897700018195e-02
1.000000000000000352e-07,1.214391037452312513e-02
1.010000000000000309e-07,1.295956688329032852e-02
1.020000000000000399e-07,1.376842668928759429e-02
1.030000000000000356e-07,1.454418922374083392e-02
1.040000000000000313e-07,1.530298759215218719e-02
1.050000000000000402e-07,1.603264989708158908e-02
1.060000000000000360e-07,1.674722780240682496e-02
1.070000000000000317e-07,1.744036344337448335e-02
1.080000000000000406e-07,1.811315653364978240e-02
1.090000000000000364e-07,1.877043235558404494e-02
1.100000000000000321e-07,1.940229802054562608e-02
1.110000000000000410e-07,2.002768669069618021e-02
1.120000000000000368e-07,2.062192852981775334e-02
1.130000000000000325e-07,2.121270000036198575e-02
1.140000000000000414e-07,2.177202876194577960e-02
1.150000000000000371e-07,2.232826100231209698e-02
1.160000000000000329e-07,2.285571585943444242e-02
1.170000000000000418e-07,2.338317071655678786e-02
1.180000000000000375e-07,2.388381531506736724e-02
1.190000000000000333e-07,2.437860794819901589e-02
1.200000000000000422e-07,2.485867742308010483e-02
1.210000000000000379e-07,2.532392151336693847e-02
1.220000000000000337e-07,2.577759850149319298e-02
1.230000000000000294e-07,2.621586236995606528e-02
1.240000000000000251e-07,2.665141840859111544e-02
1.250000000000000473e-07,2.706205901271699701e-02
1.260000000000000430e-07,2.747269961684288206e-02
1.270000000000000387e-07,2.786240773079344882e-02
1.280000000000000344e-07,2.825080433101495245e-02
