z[m],potential[V]
-1.643300000000000163e-07,2.431275311925976850e-04
-1.639200000000000279e-07,2.464206131689987726e-04
-1.635100000000000129e-07,2.497136951454001041e-04
-1.630999999999999980e-07,2.530067771218011646e-04
-1.626900000000000096e-07,2.562998590982022793e-04
-1.622800000000000211e-07,2.595929410746033940e-04
-1.618700000000000062e-07,2.628860230510044545e-04
-1.614600000000000177e-07,2.661791050274055692e-04
-1.610500000000000293e-07,2.694721870038066839e-04
-1.606399999999999879e-07,2.727652689802080154e-04
-1.602300000000000259e-07,2.763201868587161466e-04
-1.598200000000000110e-07,2.801319162180600578e-04
-1.594099999999999961e-07,2.839436455774035895e-04
-1.590000000000000076e-07,2.877553749367471755e-04
-1.585900000000000192e-07,2.915671042960907614e-04
-1.581800000000000043e-07,2.953788336554342931e-04
-1.577700000000000158e-07,2.991905630147778791e-04
-1.573600000000000274e-07,3.030022923741214108e-04
-1.569499999999999860e-07,3.068140217334652678e-04
-1.565399999999999975e-07,3.106257510928088538e-04
-1.561300000000000091e-07,3.144374804521524397e-04
-1.557200000000000206e-07,3.182492098114960257e-04
-1.553100000000000057e-07,3.220609391708395574e-04
-1.549000000000000172e-07,3.258726685301830892e-04
-1.544900000000000288e-07,3.296843978895266751e-04
-1.540800000000000139e-07,3.334961272488703153e-04
-1.536700000000000254e-07,3.373078566082138470e-04
-1.532600000000000105e-07,3.411195859675577040e-04
-1.528499999999999956e-07,3.449313153269012357e-04
-1.524400000000000071e-07,3.487430446862448217e-04
-1.520300000000000187e-07,3.525547740455883534e-04
-1.516200000000000037e-07,3.563665034049319394e-04
-1.512100000000000153e-07,3.601782327642755253e-04
-1.508000000000000268e-07,3.639899621236191113e-04
-1.503899999999999855e-07,3.680453810137030682e-04
-1.499800000000000235e-07,3.724966235968970403e-04
-1.495700000000000086e-07,3.769478661800916629e-04
-1.491599999999999936e-07,3.813991087632859602e-04
-1.487500000000000052e-07,3.858503513464802575e-04
-1.483400000000000167e-07,3.903015939296745006e-04
-1.479300000000000283e-07,3.947528365128688522e-04
-1.475200000000000134e-07,3.992040790960630953e-04
-1.471100000000000249e-07,4.036553216792573926e-04
-1.467000000000000100e-07,4.081065642624519610e-04
-1.462900000000000215e-07,4.125578068456460415e-04
-1.458800000000000066e-07,4.170090494288406099e-04
-1.454700000000000182e-07,4.214602920120349072e-04
-1.450600000000000032e-07,4.259115345952292045e-04
-1.446500000000000148e-07,4.303627771784234476e-04
-1.442400000000000263e-07,4.348140197616177450e-04
-1.438300000000000114e-07,4.392652623448120423e-04
-1.434200000000000230e-07,4.437165049280062854e-04
-1.430100000000000080e-07,4.481677475112009080e-04
-1.425999999999999931e-07,4.526189900943952595e-04
-1.421900000000000047e-07,4.570702326775894484e-04
-1.417800000000000162e-07,4.615214752607838542e-04
-1.413700000000000013e-07,4.659727178439780431e-04
-1.409600000000000128e-07,4.704239604271723946e-04
-1.405500000000000244e-07,4.750636485502793597e-04
-1.401399999999999830e-07,4.802473850828566592e-04
-1.397300000000000210e-07,4.854311216154330914e-04
-1.393200000000000061e-07,4.906148581480103367e-04
-1.389100000000000177e-07,4.957985946805872025e-04
-1.385000000000000027e-07,5.009823312131640683e-04
-1.380900000000000143e-07,5.061660677457409342e-04
-1.376800000000000258e-07,5.113498042783178000e-04
-1.372700000000000109e-07,5.165335408108945574e-04
-1.368600000000000225e-07,5.217172773434715317e-04
-1.364500000000000075e-07,5.269010138760488312e-04
-1.360400000000000191e-07,5.320847504086252634e-04
-1.356300000000000042e-07,5.372684869412024545e-04
-1.352200000000000157e-07,5.424522234737793203e-04
-1.348100000000000008e-07,5.476359600063562946e-04
-1.344000000000000123e-07,5.528196965389330520e-04
-1.339900000000000239e-07,5.580034330715099179e-04
-1.335799999999999825e-07,5.631871696040871090e-04
-1.331700000000000205e-07,5.683709061366637580e-04
-1.327600000000000056e-07,5.735546426692409491e-04
-1.323500000000000436e-07,5.787383792018173812e-04
-1.319400000000000022e-07,5.839221157343946807e-04
-1.315300000000000138e-07,5.891058522669715466e-04
-1.311200000000000253e-07,5.942895887995483040e-04
-1.307100000000000104e-07,5.995753592789549802e-04
-1.303000000000000219e-07,6.055235290048934481e-04
-1.298900000000000070e-07,6.114716987308320244e-04
-1.294800000000000186e-07,6.174198684567698417e-04
-1.290700000000000037e-07,6.233680381827085264e-04
-1.286600000000000417e-07,6.293162079086464522e-04
-1.282500000000000003e-07,6.352643776345851369e-04
-1.278400000000000118e-07,6.412125473605234964e-04
-1.274300000000000234e-07,6.471607170864616390e-04
-1.270200000000000085e-07,6.531088868123999984e-04
-1.266100000000000200e-07,6.590570565383384663e-04
-1.262000000000000051e-07,6.650052262642767173e-04
-1.257900000000000166e-07,6.709533959902150768e-04
-1.253800000000000282e-07,6.769015657161533278e-04
-1.249700000000000133e-07,6.828497354420917957e-04
-1.245599999999999983e-07,6.887979051680300467e-04
-1.241500000000000099e-07,6.947460748939684062e-04
-1.237400000000000214e-07,7.006942446199066572e-04
-1.233300000000000065e-07,7.066424143458451251e-04
-1.229200000000000181e-07,7.125905840717833761e-04
-1.225100000000000031e-07,7.185387537977216271e-04
-1.221000000000000147e-07,7.244869235236599866e-04
-1.216899999999999998e-07,7.304350932495983460e-04
-1.212800000000000113e-07,7.363832629755367055e-04
-1.208700000000000229e-07,7.423379062965296087e-04
-1.204600000000000080e-07,7.489543148009006508e-04
-1.200500000000000195e-07,7.555707233052718014e-04
-1.196400000000000046e-07,7.621871318096432773e-04
-1.192300000000000161e-07,7.688035403140143194e-04
