r[nm],potential[V]
1.080000000000000274e-07,3.699414358895756205e-01
1.090000000000000231e-07,3.699414358872081254e-01
1.100000000000000321e-07,3.699414358848407969e-01
1.110000000000000278e-07,3.699414358824734683e-01
1.120000000000000235e-07,3.699414358801060287e-01
1.130000000000000325e-07,3.699414358777385892e-01
1.140000000000000282e-07,3.699414358753713161e-01
1.150000000000000371e-07,3.699414358730038765e-01
1.160000000000000329e-07,3.699414358706364370e-01
1.170000000000000286e-07,3.699414358682691639e-01
1.180000000000000375e-07,3.699414358659017243e-01
1.190000000000000333e-07,3.699414358635343403e-01
1.200000000000000422e-07,3.699414358611669562e-01
1.210000000000000379e-07,3.699414358587995721e-01
1.220000000000000337e-07,3.699414358564321326e-01
1.230000000000000294e-07,3.699414358540648040e-01
1.240000000000000251e-07,3.699414358516975310e-01
1.250000000000000208e-07,3.699414358493299804e-01
1.260000000000000430e-07,3.699414358469627073e-01
1.270000000000000387e-07,3.699414358445953233e-01
1.280000000000000344e-07,3.699414358422278837e-01
1.290000000000000302e-07,3.699414358398604996e-01
1.300000000000000259e-07,3.699414358374931711e-01
1.310000000000000481e-07,3.699414358351257870e-01
1.320000000000000438e-07,3.699414358327583474e-01
1.330000000000000395e-07,3.699414358303910189e-01
1.340000000000000352e-07,3.699414358280235793e-01
1.350000000000000309e-07,3.699414358256561397e-01
1.360000000000000267e-07,3.699414358232888111e-01
1.370000000000000489e-07,3.699414358209214271e-01
1.380000000000000446e-07,3.699414358185540430e-01
1.390000000000000403e-07,3.699414358161867145e-01
1.400000000000000360e-07,3.699414358138193304e-01
1.410000000000000317e-07,3.699414358114518908e-01
1.420000000000000275e-07,3.699414358090845067e-01
1.430000000000000496e-07,3.699414358067171782e-01
1.440000000000000454e-07,3.699414358043497941e-01
1.450000000000000411e-07,3.699414358019824101e-01
1.460000000000000368e-07,3.699414357996150815e-01
1.470000000000000325e-07,3.699414357972476419e-01
1.480000000000000282e-07,3.699414357948802023e-01
1.490000000000000504e-07,3.699414357925128738e-01
1.500000000000000462e-07,3.699414357901454342e-01
1.510000000000000419e-07,3.699414357877780501e-01
1.520000000000000376e-07,3.699414357854107216e-01
1.530000000000000333e-07,3.699414357830433930e-01
1.540000000000000290e-07,3.699414357806758979e-01
1.550000000000000512e-07,3.699414357783085694e-01
1.560000000000000469e-07,3.699414357759412408e-01
1.570000000000000427e-07,3.699414357735738013e-01
1.580000000000000384e-07,3.699414357712064172e-01
1.590000000000000341e-07,3.699414357688390886e-01
1.600000000000000563e-07,3.699414357664716491e-01
1.610000000000000520e-07,3.699414357641042650e-01
1.620000000000000477e-07,3.699414357617368809e-01
1.630000000000000434e-07,3.699414357593694969e-01
1.640000000000000392e-07,3.699414357570020573e-01
1.650000000000000349e-07,3.699414357546347287e-01
1.660000000000000571e-07,3.699414357522673447e-01
1.670000000000000528e-07,3.699414357498999051e-01
1.680000000000000485e-07,3.699414357475326320e-01
1.690000000000000442e-07,3.699414357451652480e-01
1.700000000000000400e-07,3.699414357427977529e-01
1.710000000000000357e-07,3.699414357404304243e-01
1.720000000000000579e-07,3.699414357380630958e-01
1.730000000000000536e-07,3.699414357356957117e-01
1.740000000000000493e-07,3.699414357333282721e-01
1.750000000000000450e-07,3.699414357309609436e-01
1.760000000000000407e-07,3.699414357285935040e-01
1.770000000000000365e-07,3.699414357262261199e-01
1.780000000000000586e-07,3.699414357238587914e-01
1.790000000000000544e-07,3.699414357214913518e-01
1.800000000000000501e-07,3.699414357191239677e-01
1.810000000000000458e-07,3.699414357167566392e-01
1.820000000000000415e-07,3.699414357143892551e-01
1.830000000000000372e-07,3.699414357120218155e-01
1.840000000000000594e-07,3.699414357096544315e-01
1.850000000000000552e-07,3.699414357072871029e-01
1.860000000000000509e-07,3.699414357049196078e-01
1.870000000000000466e-07,3.699414357025523348e-01
1.880000000000000423e-07,3.699414357001850062e-01
1.890000000000000380e-07,3.699414356978175666e-01
1.900000000000000602e-07,3.699414356954501826e-01
1.910000000000000559e-07,3.699414356930827985e-01
1.920000000000000517e-07,3.699414356907153589e-01
1.930000000000000474e-07,3.699414356883479749e-01
1.940000000000000431e-07,3.699414356859806463e-01
1.950000000000000653e-07,3.699414356836132622e-01
1.960000000000000610e-07,3.699414356812458227e-01
1.970000000000000567e-07,3.699414356788784941e-01
1.980000000000000525e-07,3.699414356765110545e-01
1.990000000000000482e-07,3.699414356741436705e-01
2.000000000000000439e-07,3.699414356717763419e-01
2.010000000000000661e-07,3.699414356694090134e-01
2.020000000000000618e-07,3.699414356670415183e-01
2.030000000000000575e-07,3.699414356646741897e-01
2.040000000000000532e-07,3.699414356623068056e-01
2.050000000000000490e-07,3.699414356599394216e-01
2.060000000000000447e-07,3.699414356575719820e-01
2.070000000000000669e-07,3.699414356552047090e-01
2.080000000000000626e-07,3.699414356528372694e-01
2.090000000000000583e-07,3.699414356504698298e-01
2.100000000000000540e-07,3.699414356481025568e-01
2.110000000000000497e-07,3.699414356457351172e-01
2.120000000000000455e-07,3.699414356433677331e-01
2.130000000000000677e-07,3.699414356410003490e-01
2.140000000000000634e-07,3.699414356386330205e-01
2.150000000000000591e-07,3.699414356362655254e-01
2.160000000000000548e-07,3.699414356338981968e-01
2.170000000000000505e-07,3.699414356315308683e-01
2.180000000000000463e-07,3.699414356291634287e-01
2.190000000000000684e-07,3.699414356267960446e-01
2.200000000000000642e-07,3.699414356244287161e-01
2.210000000000000599e-07,3.699414356220612765e-01
2.220000000000000556e-07,3.699414356196938924e-01
2.230000000000000513e-07,3.699414356173265639e-01
2.240000000000000470e-07,3.699414356149591798e-01
2.250000000000000692e-07,3.699414356125917402e-01
2.260000000000000649e-07,3.699414356102243562e-01
2.270000000000000607e-07,3.699414356078569721e-01
2.280000000000000564e-07,3.699414356054895325e-01
2.290000000000000521e-07,3.699414356031222595e-01
2.300000000000000743e-07,3.699414356007549309e-01
2.310000000000000700e-07,3.699414355983874358e-01
2.320000000000000657e-07,3.699414355960201073e-01
2.330000000000000615e-07,3.699414355936527232e-01
2.340000000000000572e-07,3.699414355912852836e-01
2.350000000000000529e-07,3.699414355889178996e-01
2.360000000000000751e-07,3.699414355865505710e-01
2.370000000000000708e-07,3.699414355841831870e-01
2.380000000000000665e-07,3.699414355818157474e-01
2.390000000000000622e-07,3.699414355794484188e-01
2.400000000000000844e-07,3.699414355770809792e-01
2.410000000000000537e-07,3.699414355747135952e-01
2.420000000000000759e-07,3.699414355723462666e-01
2.430000000000000451e-07,3.699414355699788270e-01
2.440000000000000673e-07,3.699414355676114430e-01
2.450000000000000895e-07,3.699414355652441144e-01
2.460000000000000587e-07,3.699414355628767304e-01
2.470000000000000809e-07,3.699414355605092908e-01
2.480000000000000502e-07,3.699414355581419067e-01
2.490000000000000724e-07,3.699414355557746337e-01
2.500000000000000416e-07,3.699414355534071941e-01
2.510000000000000638e-07,3.699414355510398100e-01
2.520000000000000860e-07,3.699414355486724815e-01
2.530000000000000553e-07,3.699414355463050419e-01
2.540000000000000774e-07,3.699414355439376578e-01
2.550000000000000467e-07,3.699414355415702738e-01
2.560000000000000689e-07,3.699414355392028897e-01
2.570000000000000911e-07,3.699414355368354501e-01
2.580000000000000603e-07,3.699414355344681216e-01
2.590000000000000825e-07,3.699414355321007930e-01
2.600000000000000518e-07,3.699414355297332979e-01
2.610000000000000740e-07,3.699414355273659694e-01
2.620000000000000961e-07,3.699414355249986408e-01
2.630000000000000654e-07,3.699414355226312012e-01
2.640000000000000876e-07,3.699414355202638172e-01
2.650000000000000568e-07,3.699414355178964886e-01
2.660000000000000790e-07,3.699414355155291045e-01
2.670000000000000483e-07,3.699414355131616650e-01
2.680000000000000705e-07,3.699414355107943364e-01
2.690000000000000926e-07,3.699414355084268968e-01
2.700000000000000619e-07,3.699414355060594572e-01
2.710000000000000841e-07,3.699414355036921287e-01
2.720000000000000533e-07,3.699414355013247446e-01
2.730000000000000755e-07,3.699414354989573606e-01
2.740000000000000977e-07,3.699414354965900320e-01
2.750000000000000670e-07,3.699414354942226479e-01
2.760000000000000892e-07,3.699414354918552084e-01
2.770000000000000584e-07,3.699414354894878243e-01
2.780000000000000806e-07,3.699414354871204957e-01
2.790000000000000498e-07,3.699414354847531117e-01
2.800000000000000720e-07,3.699414354823857276e-01
2.810000000000000942e-07,3.699414354800183435e-01
2.820000000000000635e-07,3.699414354776509595e-01
2.830000000000000857e-07,3.699414354752835199e-01
2.840000000000000549e-07,3.699414354729161913e-01
2.850000000000000771e-07,3.699414354705487518e-01
2.860000000000000993e-07,3.699414354681813677e-01
2.870000000000000685e-07,3.699414354658140391e-01
2.880000000000000907e-07,3.699414354634466551e-01
2.890000000000000600e-07,3.699414354610792155e-01
2.900000000000000822e-07,3.699414354587118314e-01
2.910000000000001044e-07,3.699414354563445584e-01
2.920000000000000736e-07,3.699414354539770078e-01
2.930000000000000958e-07,3.699414354516097347e-01
2.940000000000000650e-07,3.699414354492424062e-01
2.950000000000000872e-07,3.699414354468749666e-01
2.960000000000000565e-07,3.699414354445075825e-01
2.970000000000000787e-07,3.699414354421401985e-01
2.980000000000001009e-07,3.699414354397728144e-01
2.990000000000000701e-07,3.699414354374053748e-01
3.000000000000000923e-07,3.699414354350381018e-01
3.010000000000000616e-07,3.699414354326706622e-01
3.020000000000000837e-07,3.699414354303032226e-01
3.030000000000001059e-07,3.699414354279358941e-01
3.040000000000000752e-07,3.699414354255684545e-01
3.050000000000000974e-07,3.699414354232010704e-01
3.060000000000000666e-07,3.699414354208337419e-01
3.070000000000000888e-07,3.699414354184664133e-01
3.080000000000000581e-07,3.699414354160990293e-01
3.090000000000000802e-07,3.699414354137315897e-01
3.100000000000001024e-07,3.699414354113642611e-01
3.110000000000000717e-07,3.699414354089968215e-01
3.120000000000000939e-07,3.699414354066293820e-01
3.130000000000000631e-07,3.699414354042621089e-01
