z[m],potential[V]
-1.151300000000000125e-07,2.514188677677399973e-03
-1.147200000000000108e-07,2.543181742237931101e-03
-1.143100000000000091e-07,2.572174806798460060e-03
-1.139000000000000074e-07,2.601167871358989452e-03
-1.134900000000000190e-07,2.630160935919518845e-03
-1.130800000000000041e-07,2.659154000480049105e-03
-1.126700000000000024e-07,2.688147065040578498e-03
-1.122600000000000139e-07,2.717140129601107890e-03
-1.118500000000000122e-07,2.746133194161637717e-03
-1.114400000000000238e-07,2.775126258722166676e-03
-1.110300000000000089e-07,2.804119323282697369e-03
-1.106200000000000072e-07,2.841692242718879113e-03
-1.102100000000000187e-07,2.880370225993033901e-03
-1.098000000000000171e-07,2.919048209267188689e-03
-1.093900000000000021e-07,2.957726192541344779e-03
-1.089800000000000137e-07,2.996404175815499133e-03
-1.085700000000000120e-07,3.035082159089653921e-03
-1.081600000000000235e-07,3.073760142363808276e-03
-1.077500000000000086e-07,3.112438125637964365e-03
-1.073400000000000069e-07,3.151116108912119154e-03
-1.069300000000000185e-07,3.189794092186273508e-03
-1.065200000000000168e-07,3.228472075460427863e-03
-1.061100000000000019e-07,3.267150058734584386e-03
-1.057000000000000134e-07,3.305828042008739174e-03
-1.052900000000000117e-07,3.344506025282893528e-03
-1.048800000000000101e-07,3.383184008557048317e-03
-1.044700000000000084e-07,3.421861991831204406e-03
-1.040600000000000067e-07,3.460539975105358761e-03
-1.036500000000000182e-07,3.499217958379513115e-03
-1.032400000000000165e-07,3.537895941653667903e-03
-1.028300000000000149e-07,3.576573924927822258e-03
-1.024200000000000132e-07,3.615251908201978781e-03
-1.020100000000000115e-07,3.653929891476133136e-03
-1.016000000000000098e-07,3.692607874750288358e-03
-1.011900000000000214e-07,3.731285858024442712e-03
-1.007800000000000064e-07,3.780092692050034554e-03
-1.003700000000000047e-07,3.832061221656401888e-03
-9.996000000000001629e-08,3.884029751262769222e-03
-9.955000000000001461e-08,3.935998280869136556e-03
-9.914000000000001292e-08,3.987966810475505192e-03
-9.873000000000001123e-08,4.039935340081872960e-03
-9.832000000000000955e-08,4.091903869688239860e-03
-9.791000000000002110e-08,4.143872399294606761e-03
-9.750000000000000618e-08,4.195840928900975396e-03
-9.709000000000000449e-08,4.247809458507343164e-03
-9.668000000000001604e-08,4.299777988113710064e-03
-9.627000000000001435e-08,4.351746517720076965e-03
-9.585999999999999943e-08,4.403715047326446468e-03
-9.545000000000001098e-08,4.455683576932813368e-03
-9.504000000000000929e-08,4.507652106539181136e-03
-9.463000000000002084e-08,4.559620636145548037e-03
-9.422000000000001916e-08,4.611589165751914937e-03
-9.381000000000000424e-08,4.663557695358283572e-03
-9.340000000000001578e-08,4.715526224964651340e-03
-9.299000000000001410e-08,4.767494754571019108e-03
-9.258000000000001241e-08,4.819463284177385141e-03
-9.217000000000001073e-08,4.871431813783754644e-03
-9.176000000000000904e-08,4.923400343390122412e-03
-9.135000000000002059e-08,4.975368872996489313e-03
